id,x,y,z
31407,-3.21444,-1.89307,-3.82483
31747,-4.88865,-1.58571,-3.12924
31852,-4.24337,-0.487911,-1.88954
32186,-4.67356,-1.25933,-2.75426
32388,-4.44916,-0.664173,-2.10617
32416,-2.86692,-1.17086,-3.0146
32767,-3.54513,-2.42517,-3.39344
32993,-4.47463,-2.33299,-1.68713
33174,-4.12714,-2.9862,-1.71312
33227,-4.73394,-0.751246,-0.214555
33414,-3.9254,0.187952,0.619664
33762,-2.34455,-0.872109,0.42681
33840,-1.19212,-2.3358,1.75125
34075,-3.64142,-2.23326,0.983378
34308,-4.67531,-2.16136,0.423064
34412,-4.06269,-2.71763,0.471287
34688,-3.67385,-1.67376,1.48816
34937,-2.8762,-1.27477,2.14883
35030,-2.60587,-1.79754,2.08264
35235,-4.67345,-1.53328,3.75087
35546,-4.70745,-1.74923,4.15564
35719,-4.78956,-0.82021,4.87472
35931,-4.2933,1.91583,3.63561
36105,-3.92592,0.200742,3.73451
36278,-3.38541,-0.0439456,4.94367
36509,-4.37442,0.182104,3.75164
36772,-4.97231,0.234112,2.85163
36825,-3.14304,0.0784114,1.16905
37081,-3.45663,2.6638,1.42318
37397,-1.989,1.80783,-0.468657
37564,-2.31467,2.70859,1.04417
37612,-1.56568,3.21225,2.30045
37941,-2.28267,3.70296,3.05793
38044,-0.993299,4.2222,3.65873
38389,0.488523,4.82232,4.38401
38438,-0.977971,4.75464,3.44511
38711,-0.653075,3.23675,2.93892
38846,-0.41183,4.08114,4.10303
39084,0.522877,3.12295,4.75983
39223,0.386628,3.68153,3.64716
39504,2.05137,4.86304,4.31516
39736,2.57768,4.45318,3.4162
39983,4.28557,4.45094,3.09513
40013,4.01885,4.14563,3.83554
40243,4.8467,3.77194,3.87647
40457,4.77028,4.20023,3.18982
40666,3.15386,4.89522,3.23939
40875,1.77588,4.76981,4.61162
41002,2.02066,4.22707,4.27874
41273,3.34623,4.14038,4.79747
41567,2.42923,2.8816,4.2018
41646,3.03767,2.52303,2.05121
41972,3.0262,1.80774,2.56484
42198,2.98078,2.68254,1.15057
42325,2.86277,3.64549,1.85591
42485,2.89726,4.36204,2.26126
42627,4.61787,3.91209,2.50879
42856,3.77208,3.07353,1.68192
43054,3.41787,1.93933,2.10606
43273,4.43304,0.907476,-0.490968
43582,4.74756,1.14603,-0.483175
43764,4.06563,-0.0615851,-0.548452
43956,3.10924,0.681989,0.357279
44018,3.0964,-0.00316659,-0.613827
44312,4.7713,-1.18865,-0.391465
44562,4.89845,-0.785904,-0.666333
44601,4.44758,-0.0901276,0.597147
44908,2.21744,1.12149,-0.619039
45019,3.86082,1.49998,-0.519893
45306,2.23614,0.937889,-1.06795
45586,2.91013,1.17909,-1.87996
45710,1.65225,1.68093,-0.382137
45907,1.73344,1.09755,0.451665
46105,1.3838,1.35947,0.995645
46238,1.5017,1.00812,1.3132
46525,1.09296,1.79805,-0.639997
46618,2.88611,1.08332,-1.80236
46872,3.25498,-0.758176,-2.49024
47012,3.93136,-0.399094,-4.26389
47351,4.43316,-0.762944,-4.49496
47551,4.97003,-0.266223,-4.44127
47793,4.06773,0.705509,-4.58233
47856,3.2225,0.148337,-4.097
48137,2.50589,-1.40656,-2.94345
